Area,Year,1. Mean,2. Mean,3. Mean,4. Mean,5. Mean,6. Mean,7. Mean,8. Mean,9. Mean,10. Mean
TR Türkiye,2021,8602.84,14251.65,18284.72,22018.88,25932.44,30431.66,35982.48,43772.51,56972.08,117761.98
TR10 (İstanbul),2021,12475.84,19147.16,23913.17,28157.42,33307.14,38703.86,45637.36,55931.96,73207.49,187605.97
TR21 (Tekirdağ Edirne Kırklareli),2021,11973.32,18676.56,23410.3,27709.45,31935.99,36548.24,42099.07,49151.84,61665.61,122730.33
TR22 (Balıkesir Çanakkale),2021,9365.9,16097.43,19678.01,23071.24,26579.68,31044.66,35827.46,42526.45,53050.45,107514.09
TR31 (İzmir),2021,12117.9,19887.47,24931.23,29587.86,34330.81,40410.52,48089.72,56685.84,71408.21,139155.94
TR32 (Aydın Denizli Muğla),2021,13006.42,18395.33,21681.05,25753.97,29559.24,34574.53,40801.67,48251.46,62377.23,109620.96
TR33 (Manisa Afyon Kütahya Uşak),2021,11273.72,16049.14,19242.84,22509.55,25514.72,29195.31,33479.58,39549.1,51000.63,94347.98
TR41 (Bursa Eskişehir Bilecik),2021,15261.47,20644.81,24372.42,27994.55,31696.1,36203.46,41713.69,48728.94,58498.63,97344.8
TR42 (Kocaeli Sakarya Düzce Bolu Yalova),2021,11737.78,19180.61,22540.44,25606.04,29175.83,33160,37845.72,45119.85,55431.32,97169.78
TR51 (Ankara),2021,14778.48,21011.12,25412.57,29367.63,34232.26,39521.45,45592.53,54645.56,69514.2,131346.4
TR52 (Konya Karaman),2021,7947.96,14921.72,18008.11,21707.54,24269.15,27715.97,31865.82,38266.99,48749.97,99626.52
TR61 (Antalya Isparta Burdur),2021,10480.79,17058.19,21373.71,25296.75,29170.35,33912.5,39529.82,46191.48,60303.67,112353.83
TR62 (Adana Mersin),2021,7715.63,11619.2,14561.61,17797.55,21070.91,24518.54,29519.14,36623.45,48335.71,90861.87
TR63 (Hatay Kahramanmaraş Osmaniye),2021,7046.09,10984.76,13432.76,15830.14,18593.01,21329.1,24917.4,29772.73,37548.28,79574.3
TR71 (Kırıkkale Aksaray Niğde Nevşehir Kırşehir),2021,9094.35,14151.82,17086.11,20375.67,23715.01,27898.06,32671.45,38531.45,50672.28,87864.04
TR72 (Kayseri Sivas Yozgat),2021,7988.44,14205.7,17600.03,20031.55,22713.78,26319.94,31128.73,36112.51,47126.61,98087.84
TR81 (Zonguldak Karabük Bartın),2021,11595.75,19474.1,22789.85,25568.93,28841.6,31724.38,35292.93,41287.96,50836.9,84652.36
TR82 (Kastamonu Çankırı Sinop),2021,7102.92,15511.63,19461.91,23123.42,27278.95,31436.68,36560.51,42437.34,53026.56,84026.97
TR83 (Samsun Tokat Çorum Amasya),2021,8727.95,14304.36,18431.08,21656.43,24711.22,28329.37,32836.33,38997.22,50995.68,102127.32
TR90 (Trabzon Ordu Giresun Rize Artvin Gümüşhane),2021,11715.82,17827.57,21897.88,25242.43,28452.84,31623.94,35823.81,41887.55,52060.65,100536.82
